Symbol,Date,Open,High,Low,Close,AdjClose,Volume
ADANIPORTS,05/06/2008,150,153.570007,147.820007,151.149994,134.313477,1782030
ADANIPORTS,05/07/2008,152,154.460007,150.240005,153.309998,136.232864,1180015
ADANIPORTS,05/08/2008,152.199997,156.759995,150.199997,155.889999,138.525497,1856245
ADANIPORTS,05/09/2008,155,160.600006,154.210007,156.520004,139.085312,3251375
ADANIPORTS,05/12/2008,156,163.479996,151,162.5,144.39917,5031635
ADANIPORTS,5/13/2008,162.399994,165.410004,157.399994,158.479996,140.826965,2294435
ADANIPORTS,5/14/2008,158,160.399994,156.899994,157.759995,140.187164,2332675
ADANIPORTS,5/15/2008,160,161.970001,157.050003,158.080002,140.471542,599625
ADANIPORTS,5/16/2008,160,160,154,154.779999,137.539124,735540
ADANIPORTS,5/20/2008,155,181.100006,153.570007,176.960007,157.24852,15290250
ADANIPORTS,5/21/2008,175,185,175,180.289993,160.207565,10640655
ADANIPORTS,5/22/2008,177.600006,182.690002,173.800003,176.169998,156.546494,6368925
ADANIPORTS,5/23/2008,176.800003,180.979996,169.199997,170.550003,151.552536,3145020
ADANIPORTS,5/26/2008,170,180.860001,166.600006,177.240005,157.49733,4114105
ADANIPORTS,5/27/2008,180.240005,185.600006,172.210007,174.350006,154.92926,5227155
ADANIPORTS,5/28/2008,173.919998,176.639999,167.25,168.610001,149.828598,2716595
ADANIPORTS,5/29/2008,170,173.399994,166.100006,166.889999,148.300201,1963320
ADANIPORTS,5/30/2008,168,169.539993,151.649994,157.289993,139.769501,4111205
ADANIPORTS,06/02/2008,159,165.339996,152.199997,153.410004,136.321716,4263755
ADANIPORTS,06/03/2008,152,153.380005,147.210007,148.309998,131.789825,2358590
ADANIPORTS,06/04/2008,149,151.199997,138.699997,140.520004,124.867546,2208670
ADANIPORTS,06/05/2008,140,141.970001,127.620003,132.059998,117.349899,2928500
ADANIPORTS,06/06/2008,133.740005,136.229996,127.019997,128.070007,113.804344,2692270
